location,potential_monthly,priority_score,current_stop,next_stop
"Between TANJUNG DUREN ARAH 
P.RANTI - TANJUNG DUREN ARAH 
PLUIT",80454.22499999999,80454.22499999999,"TANJUNG DUREN ARAH 
P.RANTI","TANJUNG DUREN ARAH 
PLUIT"
"Between GROGOL REFORMASI - TANJUNG DUREN ARAH 
P.RANTI",63572.1,63572.1,GROGOL REFORMASI,"TANJUNG DUREN ARAH 
P.RANTI"
Between LEBAK BULUS - PONDOK PINANG,44334.12499999999,44334.12499999999,LEBAK BULUS,PONDOK PINANG
"Between TANJUNG DUREN ARAH 
PLUIT - TOMANG RAYA",37961.075,37961.075,"TANJUNG DUREN ARAH 
PLUIT",TOMANG RAYA
Between KEBON JERUK - DURI KEPA,32287.725,32287.725,KEBON JERUK,DURI KEPA
Between PETOJO - TARAKAN,27738.275,27738.275,PETOJO,TARAKAN
Between KELAPA DUA SASAK - KEBON JERUK,27120.325,27120.325,KELAPA DUA SASAK,KEBON JERUK
Between BUNGUR - KEBAYORAN,26698.324999999997,26698.324999999997,BUNGUR,KEBAYORAN
